,Pclass,Age,SibSp,Parch,Fare,Sex_Id,Age_Label_Id,TtlFamMbr,Title_Id,Survived
0,3,22,1,0,7.25,0,4,1,11,0
1,1,38,1,0,71.2833,1,5,1,12,1
2,3,26,0,0,7.925,1,4,0,8,1
3,1,35,1,0,53.1,1,4,1,12,1
4,3,35,0,0,8.05,0,4,0,11,0
5,3,32,0,0,8.4583,0,4,0,11,0
6,1,54,0,0,51.8625,0,5,0,11,0
7,3,2,3,1,21.075,0,1,4,7,0
8,3,27,0,2,11.1333,1,4,2,12,1
9,2,14,1,0,30.0708,1,3,1,12,1
10,3,4,1,1,16.7,1,1,2,8,1
11,1,58,0,0,26.55,1,5,0,8,1
12,3,20,0,0,8.05,0,4,0,11,0
13,3,39,1,5,31.275,0,5,6,11,0
14,3,14,0,0,7.8542,1,3,0,8,0
15,2,55,0,0,16.0,1,5,0,12,1
16,3,2,4,1,29.125,0,1,5,7,0
17,2,32,0,0,13.0,0,4,0,11,1
18,3,31,1,0,18.0,1,4,1,12,0
19,3,35,0,0,7.225,1,4,0,12,1
20,2,35,0,0,26.0,0,4,0,11,0
21,2,34,0,0,13.0,0,4,0,11,1
22,3,15,0,0,8.0292,1,3,0,8,1
23,1,28,0,0,35.5,0,4,0,11,1
24,3,8,3,1,21.075,1,2,4,8,0
25,3,38,1,5,31.3875,1,5,6,12,1
26,3,32,0,0,7.225,0,4,0,11,0
27,1,19,3,2,263.0,0,4,5,11,0
28,3,21,0,0,7.8792,1,4,0,8,1
29,3,32,0,0,7.8958,0,4,0,11,0
30,1,40,0,0,27.7208,0,5,0,2,0
31,1,35,1,0,146.5208,1,4,1,12,1
32,3,21,0,0,7.75,1,4,0,8,1
33,2,66,0,0,10.5,0,6,0,11,0
34,1,28,1,0,82.1708,0,4,1,11,0
35,1,42,1,0,52.0,0,5,1,11,0
36,3,32,0,0,7.2292,0,4,0,11,1
37,3,21,0,0,8.05,0,4,0,11,0
38,3,18,2,0,18.0,1,3,2,8,0
39,3,14,1,0,11.2417,1,3,1,8,1
40,3,40,1,0,9.475,1,5,1,12,0
41,2,27,1,0,21.0,1,4,1,12,0
42,3,32,0,0,7.8958,0,4,0,11,0
